RADAR,DATE,SEASON,download?,STATUS,CONTAMINATION_TYPE,SCREENER,APPROXIMATE_SAMPLING_TIME,COMMENTS
KBBX,11/1/2008,Winter,n,C,P,JW, , 
KBBX,11/2/2008,Winter,n,C,P,JW, , 
KBBX,11/3/2008,Winter,n,C,P,JW, , 
KBBX,11/4/2008,Winter,n,C,P,JW, , 
KBBX,11/5/2008,Winter,n,C,P,JW, , 
KBBX,11/6/2008,Winter,y,B, ,JW,1:27:00, 
KBBX,11/7/2008,Winter,y,B, ,JW,1:22:00, 
KBBX,11/8/2008,Winter,n,C,P,JW, , 
KBBX,11/9/2008,Winter,y,B, ,JW,1:21:00, 
KBBX,11/10/2008,Winter,y,B, ,JW,1:24:00, 
KBBX,11/11/2008,Winter,y,B, ,JW,1:20:00, 
KBBX,11/12/2008,Winter,y,B, ,JW,1:20:00, 
KBBX,11/13/2008,Winter,y,B, ,JW,1:22:00, 
KBBX,11/14/2008,Winter,y,B, ,JW,1:20:00, 
KBBX,11/15/2008,Winter,y,B, ,JW,1:20:00, 
KBBX,11/16/2008,Winter,y,B, ,JW,1:15:00, 
KBBX,11/17/2008,Winter,y,B, ,JW,1:14:00, 
KBBX,11/18/2008,Winter,y,B, ,JW,1:19:00, 
KBBX,11/19/2008,Winter,y,B, ,JW,1:20:00, 
KBBX,11/20/2008,Winter,y,B, ,JW,1:23:00, 
KBBX,11/21/2008,Winter,y,B, ,JW,1:23:00, 
KBBX,11/22/2008,Winter,y,B, ,JW,1:20:00, 
KBBX,11/23/2008,Winter,y,B, ,JW,1:18:00, 
KBBX,11/24/2008,Winter,y,B, ,JW,1:10:00, 
KBBX,11/25/2008,Winter,n,C,P,JW, , 
KBBX,11/26/2008,Winter,n,C,P,JW, , 
KBBX,11/27/2008,Winter,y,B, ,JW,1:22:00, 
KBBX,11/28/2008,Winter,y,B, ,JW,1:22:00, 
KBBX,11/29/2008,Winter,n,C,AP,JW, , 
KBBX,11/30/2008,Winter,n,C,AP,JW, , 
KBBX,12/1/2008,Winter,y,B, ,JW,1:22:00, 
KBBX,12/2/2008,Winter,n,C,AP,JW, , 
KBBX,12/3/2008,Winter,y,B, ,JW,1:14:00, 
KBBX,12/4/2008,Winter,n,C,AP,JW, , 
KBBX,12/5/2008,Winter,n,C,AP,JW, , 
KBBX,12/6/2008,Winter,n,C,AP,JW, , 
KBBX,12/7/2008,Winter,n,C,AP,JW, , 
KBBX,12/8/2008,Winter,y,B, ,JW,1:19:00, 
KBBX,12/9/2008,Winter,n,C,AP,JW, , 
KBBX,12/10/2008,Winter,n,ND, ,JW, ,no data at time of exodus
KBBX,12/11/2008,Winter,y,B, ,JW,1:16:00, 
KBBX,12/12/2008,Winter,n,C,P,JW, , 
KBBX,12/13/2008,Winter,n,C,P,JW, , 
KBBX,12/14/2008,Winter,n,C,P,JW, , 
KBBX,12/15/2008,Winter,n,C,P,JW, , 
KBBX,12/16/2008,Winter,n,C,P,JW, , 
KBBX,12/17/2008,Winter,y,B, ,JW,1:20:00, 
KBBX,12/18/2008,Winter,n,C,P,JW, , 
KBBX,12/19/2008,Winter,y,B, ,JW,1:19:00, 
KBBX,12/20/2008,Winter,n,C,P,JW, , 
KBBX,12/21/2008,Winter,n,C,P,JW, , 
KBBX,12/22/2008,Winter,n,C,P,JW, , 
KBBX,12/23/2008,Winter,n,C,AP,JW, , 
KBBX,12/24/2008,Winter,n,C,P,JW, , 
KBBX,12/25/2008,Winter,n,C,P,JW, , 
KBBX,12/26/2008,Winter,n,C,P,JW, , 
KBBX,12/27/2008,Winter,n,C,P,JW, , 
KBBX,12/28/2008,Winter,y,B, ,JW,1:20:00, 
KBBX,12/29/2008,Winter,y,B, ,JW,1:23:00, 
KBBX,12/30/2008,Winter,y,B, ,JW,1:24:00, 
KBBX,12/31/2008,Winter,n,C,AP,JW, , 
KBBX,1/1/2009,Winter,n,NB, ,JW, ,doesn't look like anything taking off
KBBX,1/2/2009,Winter,y,B, ,JW,1:18:00, 
KBBX,1/3/2009,Winter,y,B, ,JW,1:24:00, 
KBBX,1/4/2009,Winter,n,C,AP,JW, , 
KBBX,1/5/2009,Winter,n,C,CL,JW, , 
KBBX,1/6/2009,Winter,y,B, ,JW,1:27:00, 
KBBX,1/7/2009,Winter,n,C,AP,JW, , 
KBBX,1/8/2009,Winter,y,B, ,JW,1:28:00, 
KBBX,1/9/2009,Winter,n,C,AP,JW, , 
KBBX,1/10/2009,Winter,n,C,AP,JW, , 
KBBX,1/11/2009,Winter,n,C,AP,JW, , 
KBBX,1/12/2009,Winter,n,C,AP,JW, , 
KBBX,1/13/2009,Winter,n,C,AP,JW, , 
KBBX,1/14/2009,Winter,n,C,AP,JW, , 
KBBX,1/15/2009,Winter,n,C,AP,JW, , 
KBBX,1/16/2009,Winter,n,C,P,JW, , 
KBBX,1/17/2009,Winter,y,B, ,JW,1:37:00, 
KBBX,1/18/2009,Winter,n,C,AP,JW, , 
KBBX,1/19/2009,Winter,y,B, ,JW,1:38:00, 
KBBX,1/20/2009,Winter,y,B, ,JW,1:39:00, 
KBBX,1/21/2009,Winter,n,C,P,JW, , 
KBBX,1/22/2009,Winter,n,C,CL,JW, , 
KBBX,1/23/2009,Winter,n,C,P,JW, , 
KBBX,1/24/2009,Winter,n,C,P,JW, , 
KBBX,1/25/2009,Winter,n,C,P,JW, , 
KBBX,1/26/2009,Winter,y,B, ,JW,1:43:00, 
KBBX,1/27/2009,Winter,y,B, ,JW,1:45:00, 
KBBX,1/28/2009,Winter,y,B, ,JW,1:48:00, 
KBBX,1/29/2009,Winter,y,B, ,JW,1:49:00, 
KBBX,1/30/2009,Winter,y,B, ,JW,1:50:00, 
KBBX,1/31/2009,Winter,y,B, ,JW,1:51:00, 
KBBX,2/1/2009,Winter,y,B, ,JW,1:52:00, 
KBBX,2/2/2009,Winter,y,B, ,JW,1:50:00, 
KBBX,2/3/2009,Winter,y,B, ,JW,1:55:00, 
KBBX,2/4/2009,Winter,y,B, ,JW,1:51:00, 
KBBX,2/5/2009,Winter,n,C,P,JW, , 
KBBX,2/6/2009,Winter,n,C,P,JW, , 
KBBX,2/7/2009,Winter,y,B, ,JW,2:05:00, 
KBBX,2/8/2009,Winter,n,C,P,JW, , 
KBBX,2/9/2009,Winter,n,C,P,JW, , 
KBBX,2/10/2009,Winter,n,C,P,JW, , 
KBBX,2/11/2009,Winter,n,C,P,JW, , 
KBBX,2/12/2009,Winter,n,C,P,JW, , 
KBBX,2/13/2009,Winter,n,C,P,JW, , 
KBBX,2/14/2009,Winter,n,C,P,JW, , 
KBBX,2/15/2009,Winter,n,C,P,JW, , 
KBBX,2/16/2009,Winter,n,C,P,JW, , 
KBBX,2/17/2009,Winter,n,C,P,JW, , 
KBBX,2/18/2009,Winter,n,C,AP,JW, , 
KBBX,2/19/2009,Winter,n,C,AP,JW, , 
KBBX,2/20/2009,Winter,n,C,AP,JW, , 
KBBX,2/21/2009,Winter,n,C,P,JW, , 
KBBX,2/22/2009,Winter,n,C,P,JW, , 
KBBX,2/23/2009,Winter,n,C,P,JW, , 
KBBX,2/24/2009,Winter,n,C,AP,JW, , 
KBBX,2/25/2009,Winter,n,C,P,JW, , 
KBBX,2/26/2009,Winter,n,C,P,JW, , 
KBBX,2/27/2009,Winter,n,C,AP,JW, , 
KBBX,2/28/2009,Winter,y,B, ,JW,2:20:00, 
KBBX,11/1/2009,Winter,n,C,AP,JW,1:21:00, 
KBBX,11/2/2009,Winter,y,B, ,JW,1:23:00, 
KBBX,11/3/2009,Winter,y,B, ,JW,1:22:00, 
KBBX,11/4/2009,Winter,y,B, ,JW,1:20:00, 
KBBX,11/5/2009,Winter,n,C,P,JW, , 
KBBX,11/6/2009,Winter,n,C,P,JW, , 
KBBX,11/7/2009,Winter,y,B, ,JW,1:29:00, 
KBBX,11/8/2009,Winter,y,B, ,JW,1:21:00, 
KBBX,11/9/2009,Winter,n,C,P,JW, , 
KBBX,11/10/2009,Winter,y,B, ,JW,1:11:00, 
KBBX,11/11/2009,Winter,n,C,P,JW, , 
KBBX,11/12/2009,Winter,y,B, ,JW,1:18:00, 
KBBX,11/13/2009,Winter,n,C,P,JW, , 
KBBX,11/14/2009,Winter,y,B, ,JW,1:24:00, 
KBBX,11/15/2009,Winter,y,B, ,JW,1:17:00, 
KBBX,11/16/2009,Winter,y,B, ,JW,1:20:00, 
KBBX,11/17/2009,Winter,n,C,P,JW, , 
KBBX,11/18/2009,Winter,y,B, ,JW,1:25:00, 
KBBX,11/19/2009,Winter,y,B, ,JW,1:22:00, 
KBBX,11/20/2009,Winter,n,C,P,JW, , 
KBBX,11/21/2009,Winter,n,C,P,JW, , 
KBBX,11/22/2009,Winter,n,ND, ,JW, , 
KBBX,11/23/2009,Winter,y,B, ,JW,1:21:00, 
KBBX,11/24/2009,Winter,n,C,AP,JW, , 
KBBX,11/25/2009,Winter,n,C,AP,JW, , 
KBBX,11/26/2009,Winter,y,B, ,JW,1:19:00, 
KBBX,11/27/2009,Winter,n,C,P,JW, , 
KBBX,11/28/2009,Winter,y,B, ,JW,1:16:00, 
KBBX,11/29/2009,Winter,y,B, ,JW,1:18:00, 
KBBX,11/30/2009,Winter,y,B, ,JW,1:20:00, 
KBBX,12/1/2009,Winter,y,B, ,JW,1:14:00, 
KBBX,12/2/2009,Winter,y,B, ,JW,1:17:00, 
KBBX,12/3/2009,Winter,y,B, ,JW,1:21:00, 
KBBX,12/4/2009,Winter,y,B, ,JW,1:15:00, 
KBBX,12/5/2009,Winter,y,B, ,JW,1:20:00, 
KBBX,12/6/2009,Winter,n,C,P,JW, , 
KBBX,12/7/2009,Winter,y,B, ,JW,1:16:00, 
KBBX,12/8/2009,Winter,y,B, ,JW,1:11:00, 
KBBX,12/9/2009,Winter,y,B, ,JW,1:13:00, 
KBBX,12/10/2009,Winter,n,C,P,JW, , 
KBBX,12/11/2009,Winter,n,C,P,JW, , 
KBBX,12/12/2009,Winter,n,C,P,JW, , 
KBBX,12/13/2009,Winter,n,C,P,JW, , 
KBBX,12/14/2009,Winter,n,C,P,JW, , 
KBBX,12/15/2009,Winter,n,C,P,JW, , 
KBBX,12/16/2009,Winter,y,B, ,JW,1:18:00, 
KBBX,12/17/2009,Winter,n,C,P,JW, , 
KBBX,12/18/2009,Winter,y,B, ,JW,1:19:00, 
KBBX,12/19/2009,Winter,n,C,CL,JW, , 
KBBX,12/20/2009,Winter,n,C,P,JW, , 
KBBX,12/21/2009,Winter,n,C,P,JW, , 
KBBX,12/22/2009,Winter,y,B, ,JW,1:19:00, 
KBBX,12/23/2009,Winter,y,B, ,JW,1:22:00, 
KBBX,12/24/2009,Winter,y,B, ,JW,1:27:00, 
KBBX,12/25/2009,Winter,y,B, ,JW,1:22:00, 
KBBX,12/26/2009,Winter,n,C,P,JW, , 
KBBX,12/27/2009,Winter,n,C,P,JW, , 
KBBX,12/28/2009,Winter,n,C,P,JW, , 
KBBX,12/29/2009,Winter,n,C,P,JW, , 
KBBX,12/30/2009,Winter,y,B, ,JW,1:25:00, 
KBBX,12/31/2009,Winter,n,C,P,JW, , 
KBBX,1/1/2010,Winter,n,C,P,JW, , 
KBBX,1/2/2010,Winter,y,B, ,JW,1:27:00, 
KBBX,1/3/2010,Winter,n,ND, ,JW, , 
KBBX,1/4/2010,Winter,n,ND, ,JW, , 
KBBX,1/5/2010,Winter,y,B, ,JW,1:32:00, 
KBBX,1/6/2010,Winter,n,ND, ,JW, , 
KBBX,1/7/2010,Winter,y,B, ,JW,1:22:00, 
KBBX,1/8/2010,Winter,n,C,P,JW, , 
KBBX,1/9/2010,Winter,n,ND, ,JW, , 
KBBX,1/10/2010,Winter,n,ND, ,JW, , 
KBBX,1/11/2010,Winter,n,ND, ,JW, , 
KBBX,1/12/2010,Winter,n,C,P,JW, , 
KBBX,1/13/2010,Winter,y,B, ,JW,1:33:00, 
KBBX,1/14/2010,Winter,n,C,P,JW, , 
KBBX,1/15/2010,Winter,n,ND, ,JW, , 
KBBX,1/16/2010,Winter,n,C,P,JW, , 
KBBX,1/17/2010,Winter,n,C,P,JW, , 
KBBX,1/18/2010,Winter,n,C,P,JW, , 
KBBX,1/19/2010,Winter,n,C,P,JW, , 
KBBX,1/20/2010,Winter,n,C,P,JW, , 
KBBX,1/21/2010,Winter,n,C,P,JW, , 
KBBX,1/22/2010,Winter,n,C,P,JW, , 
KBBX,1/23/2010,Winter,n,C,P,JW, , 
KBBX,1/24/2010,Winter,n,C,P,JW, , 
KBBX,1/25/2010,Winter,n,C,P,JW, , 
KBBX,1/26/2010,Winter,n,ND, ,JW, , 
KBBX,1/27/2010,Winter,n,ND, ,JW, , 
KBBX,1/28/2010,Winter,y,B, ,JW,1:49:00, 
KBBX,1/29/2010,Winter,n,C,P,JW, , 
KBBX,1/30/2010,Winter,n,ND, ,JW, , 
KBBX,1/31/2010,Winter,y,B, ,JW,1:55:00, 
KBBX,2/1/2010,Winter,n,C,P,JW, , 
KBBX,2/2/2010,Winter,n,C,P,JW, , 
KBBX,2/3/2010,Winter,y,B, ,JW,1:59:00, 
KBBX,2/4/2010,Winter,n,C,P,JW, , 
KBBX,2/5/2010,Winter,n,C,P,JW, , 
KBBX,2/6/2010,Winter,n,C,P,JW, , 
KBBX,2/7/2010,Winter,y,B, ,JW,2:02:00, 
KBBX,2/8/2010,Winter,n,C,P,JW, , 
KBBX,2/9/2010,Winter,y,B, ,JW,2:07:00, 
KBBX,2/10/2010,Winter,n,C,AP,JW, , 
KBBX,2/11/2010,Winter,n,C,P,JW, , 
KBBX,2/12/2010,Winter,y,B, ,JW,2:06:00, 
KBBX,2/13/2010,Winter,y,B, ,JW,2:09:00, 
KBBX,2/14/2010,Winter,n,C,P,JW, , 
KBBX,2/15/2010,Winter,n,C,AP,JW, , 
KBBX,2/16/2010,Winter,n,C,AP,JW, , 
KBBX,2/17/2010,Winter,n,C,AP,JW, , 
KBBX,2/18/2010,Winter,n,C,AP,JW, , 
KBBX,2/19/2010,Winter,y,B, ,JW,2:13:00, 
KBBX,2/20/2010,Winter,y,B, ,JW,2:11:00, 
KBBX,2/21/2010,Winter,n,C,P,JW, , 
KBBX,2/22/2010,Winter,y,B, ,JW,2:18:00, 
KBBX,2/23/2010,Winter,n,C,P,JW, , 
KBBX,2/24/2010,Winter,n,C,P,JW, , 
KBBX,2/25/2010,Winter,n,C,P,JW, , 
KBBX,2/26/2010,Winter,n,C,P,JW, , 
KBBX,2/27/2010,Winter,y,B, ,JW,2:29:00, 
KBBX,2/28/2010,Winter,n,C,AP,JW, , 
KBBX,11/1/2010,Winter,n,C,AP,JW, , 
KBBX,11/2/2010,Winter,n,C,AP,JW, , 
KBBX,11/3/2010,Winter,n,ND, ,JW,1:19:00,only data at 0.5 and 1.5 elevations
KBBX,11/4/2010,Winter,n,ND, ,JW,1:25:00,only data at 0.5 and 1.5 elevations
KBBX,11/5/2010,Winter,y,B, ,JW,1:18:00,may have some corrupt files that prevent processing
KBBX,11/6/2010,Winter,y,B, ,JW,1:24:00, 
KBBX,11/7/2010,Winter,n,C,P,JW, , 
KBBX,11/8/2010,Winter,n,ND, ,JW, , 
KBBX,11/9/2010,Winter,n,C,P,JW, , 
KBBX,11/10/2010,Winter,y,B, ,JW,1:32:00, 
KBBX,11/11/2010,Winter,y,B, ,JW,1:24:00, 
KBBX,11/12/2010,Winter,y,B, ,JW,1:25:00, 
KBBX,11/13/2010,Winter,y,B, ,JW,1:28:00, 
KBBX,11/14/2010,Winter,y,B, ,JW,1:23:00, 
KBBX,11/15/2010,Winter,y,B, ,JW,1:25:00, 
KBBX,11/16/2010,Winter,y,B, ,JW,1:22:00, 
KBBX,11/17/2010,Winter,y,B, ,JW,1:12:00,may have some corrupt files that prevent processing
KBBX,11/18/2010,Winter,y,B, ,JW,1:17:00, 
KBBX,11/19/2010,Winter,n,C,P,JW, , 
KBBX,11/20/2010,Winter,n,C,P,JW, , 
KBBX,11/21/2010,Winter,n,C,P,JW, , 
KBBX,11/22/2010,Winter,n,C,P,JW, , 
KBBX,11/23/2010,Winter,y,B, ,JW,1:20:00, 
KBBX,11/24/2010,Winter,y,B, ,JW,1:24:00, 
KBBX,11/25/2010,Winter,y,B, ,JW,1:22:00, 
KBBX,11/26/2010,Winter,n,C,P,JW, , 
KBBX,11/27/2010,Winter,n,C,P,JW, , 
KBBX,11/28/2010,Winter,y,B, ,JW,1:15:00, 
KBBX,11/29/2010,Winter,y,B, ,JW,1:18:00, 
KBBX,11/30/2010,Winter,n,C,P,JW, , 
KBBX,12/1/2010,Winter,n,C,P,JW, , 
KBBX,12/2/2010,Winter,n,C,P,JW, , 
KBBX,12/3/2010,Winter,n,C,P,JW, , 
KBBX,12/4/2010,Winter,n,C,P,JW, , 
KBBX,12/5/2010,Winter,n,C,P,JW, , 
KBBX,12/6/2010,Winter,n,ND, ,JW, ,corrupt files
KBBX,12/7/2010,Winter,y,B, ,JW,1:17:00, 
KBBX,12/8/2010,Winter,n,C,P,JW, , 
KBBX,12/9/2010,Winter,n,C,P,JW, , 
KBBX,12/10/2010,Winter,n,C,P,JW, , 
KBBX,12/11/2010,Winter,y,B, ,JW,1:16:00, 
KBBX,12/12/2010,Winter,n,C,AP,JW, , 
KBBX,12/13/2010,Winter,n,C,P,JW, , 
KBBX,12/14/2010,Winter,n,C,P,JW, , 
KBBX,12/15/2010,Winter,n,ND, ,JW, , 
KBBX,12/16/2010,Winter,n,C,P,JW, , 
KBBX,12/17/2010,Winter,n,C,P,JW, , 
KBBX,12/18/2010,Winter,n,C,P,JW, , 
KBBX,12/19/2010,Winter,n,C,P,JW, , 
KBBX,12/20/2010,Winter,n,C,P,JW, , 
KBBX,12/21/2010,Winter,n,C,P,JW, , 
KBBX,12/22/2010,Winter,n,C,CL,JW, , 
KBBX,12/23/2010,Winter,y,B, ,JW,1:21:00, 
KBBX,12/24/2010,Winter,n,C,P,JW, , 
KBBX,12/25/2010,Winter,n,C,P,JW, , 
KBBX,12/26/2010,Winter,n,C,P,JW, , 
KBBX,12/27/2010,Winter,n,C,P,JW, , 
KBBX,12/28/2010,Winter,n,C,P,JW, , 
KBBX,12/29/2010,Winter,n,C,P,JW, , 
KBBX,12/30/2010,Winter,y,B, ,JW,1:26:00, 
KBBX,12/31/2010,Winter,n,C,P,JW, , 
KBBX,1/1/2011,Winter,n,C,P,JW, , 
KBBX,1/2/2011,Winter,n,C,P,JW, , 
KBBX,1/3/2011,Winter,y,B, ,JW,1:28:00, 
KBBX,1/4/2011,Winter,n,ND, ,JW, , 
KBBX,1/5/2011,Winter,n,ND, ,JW, , 
KBBX,1/6/2011,Winter,n,C,CL,JW, , 
KBBX,1/7/2011,Winter,n,C,CL,JW, , 
KBBX,1/8/2011,Winter,y,B, ,JW,1:23:00, 
KBBX,1/9/2011,Winter,y,B, ,JW,1:34:00, 
KBBX,1/10/2011,Winter,y,B, ,JW,1:33:00, 
KBBX,1/11/2011,Winter,n,C,P,JW, , 
KBBX,1/12/2011,Winter,y,B, ,JW,1:32:00, 
KBBX,1/13/2011,Winter,n,C,CL,JW, , 
KBBX,1/14/2011,Winter,y,B, ,JW,1:42:00, 
KBBX,1/15/2011,Winter,y,B, ,JW,1:42:00, 
KBBX,1/16/2011,Winter,n,C,P,JW, , 
KBBX,1/17/2011,Winter,n,C,CL,JW, , 
KBBX,1/18/2011,Winter,y,B, ,JW,1:44:00, 
KBBX,1/19/2011,Winter,y,B, ,JW,1:45:00, 
KBBX,1/20/2011,Winter,y,B, ,JW,1:47:00, 
KBBX,1/21/2011,Winter,y,B, ,JW,1:50:00, 
KBBX,1/22/2011,Winter,y,B, ,JW,1:50:00, 
KBBX,1/23/2011,Winter,y,B, ,JW,1:48:00, 
KBBX,1/24/2011,Winter,y,B, ,JW,1:39:00, 
KBBX,1/25/2011,Winter,n,ND, ,JW, , 
KBBX,1/26/2011,Winter,n,ND, ,JW, , 
KBBX,1/27/2011,Winter,n,ND, ,JW, , 
KBBX,1/28/2011,Winter,n,ND, ,JW, , 
KBBX,1/29/2011,Winter,n,ND, ,JW, , 
KBBX,1/30/2011,Winter,n,ND, ,JW, , 
KBBX,1/31/2011,Winter,n,ND, ,JW, , 
KBBX,2/1/2011,Winter,n,ND, ,JW, , 
KBBX,2/2/2011,Winter,n,ND, ,JW, , 
KBBX,2/3/2011,Winter,y,B, ,JW,1:58:00, 
KBBX,2/4/2011,Winter,n,ND, ,JW, , 
KBBX,2/5/2011,Winter,n,ND, ,JW, , 
KBBX,2/6/2011,Winter,n,ND, ,JW, , 
KBBX,2/7/2011,Winter,n,ND, ,JW, , 
KBBX,2/8/2011,Winter,n,ND, ,JW, , 
KBBX,2/9/2011,Winter,y,B, ,JW,2:15:00, 
KBBX,2/10/2011,Winter,n,ND, ,JW, ,Not enough data
KBBX,2/11/2011,Winter,n,C,AP,JW, , 
KBBX,2/12/2011,Winter,n,C,AP,JW, , 
KBBX,2/13/2011,Winter,y,B, ,JW,2:12:00, 
KBBX,2/14/2011,Winter,n,C,P,JW, , 
KBBX,2/15/2011,Winter,n,C,P,JW, , 
KBBX,2/16/2011,Winter,n,C,P,JW, , 
KBBX,2/17/2011,Winter,n,C,P,JW, , 
KBBX,2/18/2011,Winter,n,C,P,JW, , 
KBBX,2/19/2011,Winter,n,C,P,JW, , 
KBBX,2/20/2011,Winter,y,B, ,JW,2:24:00, 
KBBX,2/21/2011,Winter,n,ND, ,JW, , 
KBBX,2/22/2011,Winter,y,B, ,JW,2:23:00, 
KBBX,2/23/2011,Winter,y,B, ,JW,2:23:00, 
KBBX,2/24/2011,Winter,n,C,P,JW, , 
KBBX,2/25/2011,Winter,n,C,P,JW, , 
KBBX,2/26/2011,Winter,y,B, ,JW,2:23:00, 
KBBX,2/27/2011,Winter,n,C,AP,JW, , 
KBBX,2/28/2011,Winter,y,B, ,JW,2:31:00, 
KBBX,11/1/2011,winter,y,B, ,JW,1:41:00, 
KBBX,11/2/2011,winter,y,B, ,JW,1:36:00, 
KBBX,11/3/2011,winter,n,C,P,JW, , 
KBBX,11/4/2011,winter,n,C,P,JW, , 
KBBX,11/5/2011,winter,n,C,P,JW, , 
